"input_text","output_text"
"look around","look"
"examine room","look"
"inspect surroundings","look"
"survey the area","look"
"observe closely","look"
"look at chest","look"
"inspect door","look"
"search the drawer","look"
"examine bookcase","look"
"peer into hole","look"
"observe ceiling","look"
"inspect floor","look"
"search hidden compartment","look"
"scan horizon","look"
"spy through window","look"
"move south","move south"
"move north","move north"
"move west","move west"
"move north","move north"
"walk east","move east"
"head east","move east"
"go west","move west"
"travel upwards","move north"
"descend downstairs","move south"
"move forward","move north"
"step backward","move south"
"retreat backwards","move south"
"go west","move west"
"enter the cave","move north"
"exit the building","move south"
"turn left","move west"
"turn right","move east"
"go east","move east"
"crawl forward","move north"
"duck down","move south"
"go north","move north"
"go south","move south"
"take sword","take sword"
"grab key","take key"
"pick up potion","take potion"
"collect gem","take gem"
"snatch artifact","take artifact"
"pick coin","take coin"
"take shield","take shield"
"grab backpack","take backpack"
"take lantern","take lantern"
"take potion","take potion"
"talk to npc","talk"
"speak to merchant","talk"
"chat with guard","talk"
"ask villager","talk"
"converse with wizard","talk"
"chat with captain","talk"
"interrogate prisoner","talk"
"negotiate with merchant","talk"
"ask directions","talk"
"plead for help","talk"
"bargain with trader","talk"
"wave at friend","talk"
"yell loudly","talk"
"sing a song","talk"
"attack enemy","attack"
"strike goblin","attack"
"hit monster","attack"
"stab dragon","attack"
"punch bandit","attack"
"kick ogre","attack"
"slash zombie","attack"
"defend position","attack"
"throw rock","attack"
"fight spider","attack"
"crush skeleton","attack"
"fire arrow","attack"
"attack with sword","attack"
"charge at enemy","attack"
"break door","attack"
"unknown command","unknown"
"what is this?","unknown"
"asdfgh","unknown"
"no action here","unknown"
"random text","unknown"
